strategy,params,MRR,Hits@1,Hits@3,Hits@5,avg_chunk_words,total_chunks,chunk_efficiency
sentences,"{'min_sentence_length': 5, 'min_chunk_length': 15}",0.6833333333333333,0.5333333333333333,0.9333333333333333,1.0,16.557757370710487,2069,0.009908168197196714
sentences,"{'min_sentence_length': 10, 'min_chunk_length': 30}",0.7055555555555555,0.5333333333333333,0.9333333333333333,1.0,16.959661354581673,2008,0.010541168658698538
sentences,"{'min_sentence_length': 15, 'min_chunk_length': 45}",0.75,0.6,0.9333333333333333,1.0,17.809802876931272,1877,0.011987213638785296
sentences,"{'min_sentence_length': 20, 'min_chunk_length': 60}",0.7444444444444444,0.6,1.0,1.0,19.798516687268233,1618,0.013803049031726411
paragraphs,"{'min_paragraph_length': 20, 'min_chunk_length': 20}",0.75,0.6666666666666666,0.9333333333333333,1.0,18.19861922464153,1883,0.011949017525225704
paragraphs,"{'min_paragraph_length': 30, 'min_chunk_length': 30}",0.75,0.6666666666666666,0.9333333333333333,1.0,19.0393037619315,1781,0.012633352049410443
paragraphs,"{'min_paragraph_length': 50, 'min_chunk_length': 50}",0.7388888888888888,0.6666666666666666,0.9333333333333333,1.0,29.735159817351597,1095,0.02024353120243531
paragraphs,"{'min_paragraph_length': 80, 'min_chunk_length': 80}",0.8022222222222222,0.7333333333333333,0.9333333333333333,1.0,33.735644637053085,923,0.026074395088479595
fixed,"{'chunk_size': 50, 'min_chunk_length': 20}",0.7944444444444444,0.6666666666666666,0.9333333333333333,1.0,48.90767045454545,704,0.033854166666666664
fixed,"{'chunk_size': 100, 'min_chunk_length': 20}",0.9333333333333333,0.8666666666666667,1.0,1.0,95.11325966850829,362,0.07734806629834254
fixed,"{'chunk_size': 150, 'min_chunk_length': 20}",0.88,0.8,0.9333333333333333,1.0,141.11065573770492,244,0.10819672131147541
fixed,"{'chunk_size': 200, 'min_chunk_length': 20}",0.88,0.8,0.9333333333333333,1.0,182.17460317460316,189,0.13968253968253969
fixed,"{'chunk_size': 250, 'min_chunk_length': 20}",0.7888888888888889,0.6666666666666666,0.8666666666666667,1.0,225.0392156862745,153,0.15468409586056645
overlap,"{'chunk_size': 100, 'overlap': 10, 'min_chunk_length': 20}",0.9111111111111111,0.8666666666666667,1.0,1.0,96.40506329113924,395,0.06919831223628692
overlap,"{'chunk_size': 100, 'overlap': 20, 'min_chunk_length': 20}",0.9333333333333333,0.8666666666666667,1.0,1.0,95.61659192825113,446,0.06278026905829596
overlap,"{'chunk_size': 100, 'overlap': 30, 'min_chunk_length': 20}",0.888888888888889,0.8,1.0,1.0,95.61220472440945,508,0.05249343832020998
overlap,"{'chunk_size': 100, 'overlap': 40, 'min_chunk_length': 20}",0.8777777777777778,0.8,1.0,1.0,96.29180887372014,586,0.04493742889647326
overlap,"{'chunk_size': 150, 'overlap': 10, 'min_chunk_length': 20}",0.8222222222222222,0.7333333333333333,1.0,1.0,140.2175572519084,262,0.09414758269720103
overlap,"{'chunk_size': 150, 'overlap': 20, 'min_chunk_length': 20}",0.8355555555555555,0.8,0.9333333333333333,1.0,140.23487544483984,281,0.08920521945432977
overlap,"{'chunk_size': 150, 'overlap': 30, 'min_chunk_length': 20}",0.9222222222222223,0.8666666666666667,1.0,1.0,141.63333333333333,300,0.09222222222222223
overlap,"{'chunk_size': 150, 'overlap': 40, 'min_chunk_length': 20}",0.9166666666666666,0.8666666666666667,0.9333333333333333,1.0,141.21100917431193,327,0.08409785932721713
overlap,"{'chunk_size': 200, 'overlap': 10, 'min_chunk_length': 20}",0.95,0.9333333333333333,0.9333333333333333,1.0,183.1776649746193,197,0.1446700507614213
overlap,"{'chunk_size': 200, 'overlap': 20, 'min_chunk_length': 20}",0.8722222222222222,0.8,0.9333333333333333,1.0,183.43478260869566,207,0.12640901771336555
headings,{'min_chunk_length': 30},0.8244444444444444,0.7333333333333333,0.9333333333333333,1.0,116.31632653061224,294,0.08412698412698412
headings,{'min_chunk_length': 50},0.7911111111111111,0.6666666666666666,0.9333333333333333,1.0,118.625,288,0.08240740740740742
headings,{'min_chunk_length': 80},0.7911111111111111,0.6666666666666666,0.9333333333333333,1.0,121.37366548042705,281,0.08446026097271649
headings,{'min_chunk_length': 100},0.7911111111111111,0.6666666666666666,0.9333333333333333,1.0,121.37366548042705,281,0.08446026097271649
