question,position,score,rank
"Посещение завершено, как закрыть случай лечения?",2,0.33455079793930054,0.5
Как оформить  направление на МСЭ?,1,0.22897958755493164,1.0
Как создать направление на диагностическое исследование?,1,0.23913735151290894,1.0
Как создать МКСБ?,1,0.3164699077606201,1.0
Как оформить направление на плановую госпитализацию?,1,0.2801591157913208,1.0
Как перейти в «План иммунопрофилактики»?,1,0.27134525775909424,1.0
Кака создавать реестры в ВебМИС?,1,0.32226747274398804,1.0
"Какую роль нужно добавить пользователю, чтобы блок «Ведение расписания» отобразился?",1,0.3080858588218689,1.0
Как создать новый МКАБ?,1,0.32434940338134766,1.0
Как проверить факт прикрепления пациента в системе?,3,0.3487206697463989,0.3333333333333333
Какие поля являются обязательными при заполнении данных в Лист ожидания?,1,0.3279837965965271,1.0
Как распечатать согласия пациента в стационаре?,1,0.2449752688407898,1.0
"Как выдать заключение по медицинскому осмотру, на сколько процентов должна быть заполнена карта для выдачи заключения?",1,0.26405298709869385,1.0
Как создать свидетельство о смерти (МСС)?,1,0.18677663803100586,1.0
Как оформить Электронное свидетельство о рождении?,1,0.2747478485107422,1.0
